Link,Thương hiệu,Tên sp,Thông tin,Giá,Tên khách hàng,Rating,Hài lòng,Đánh giá,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,NPU,Hiệu năng xử lý AI (TOPS),Màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Màn hình cảm ứng,Độ sáng SDR,Card màn hình,Công nghệ âm thanh,DTS,Cổng giao tiếp,Kết nối không dây,Webcam,Đèn bàn phím,Tính năng khác,Tản nhiệt,Khe đọc thẻ nhớ,Kích thước,Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt,Dài(mm),Rộng(mm),Dày(mm),Trọng Lượng(kg)
https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Acer,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer ( 65W )
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Pham Dung,1,1,"Máy để chế độ sleep khoảng 12 tiếng sẽ bị nóng máy, bật không lên ngay mà phải chờ 1 lúc rồi ấn enter liên tục thì mới chập chờn nháy logo mấy lần mới lên được Nhấn mạnh là máy sẽ rất nóng và quạt tản nhiệt lúc này sẽ không chạy. Pin thì không hao nhiều nên để chế độ sleep không bị tốn pin. Do tính chất công việc nên gần như mình sẽ không tắt laptop mà chỉ để chế độ sleep. Rõ ràng có một cái lỗi lớn đáng báo động như thế nhưng mình không hề biết cho đến khi dùng nó, sau khi báo lại nhân viên thì lấy lý do là tại win 11 nên tất cả các máy đều sẽ bị như thế và không có giải pháp nào Mình có đề xuất hạ bản win hoặc xóa bớt app nhưng đều bị cho là không khả thi. Không thể hiểu nổi rõ ràng đây là một cái lỗi lớn nhưng cách giái quyết thì như kiểu đây là điều hiển nhiên trong khi máy mới dùng đâu đó 1 tuần.Trừ lỗi đó ra hiện tại tất cả chức năng khác đều ổn. Chắc là dùng cái máy này thì chỉ nên để chế độ Sleep khoảng 15 phút đổ lại còn không thì tắt hẳn máy luôn. Đây là một trải nghiệm tồi, chắc mình sẽ có cái nhìn khác về Acer vè TGDĐ, lần sau chắc có mua thì sẽ chỉ là giá rẻ",16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",AMD Ryzen 7 - 5700U,8,16,1.8GHz,Turbo Boost 4.3 GHz,,,"14""",WUXGA,60Hz,45% NTSC,Tấm nền IPS,,,Card tích hợp - AMD Radeon Graphics,Acer Purified Voice,,Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,,,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,"3-cell, 50Wh",Windows 11 Home SL,2024,318.2,225.5,17.8,1.4
https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Acer,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer ( 65W )
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Lê Văn Đối,1,1,"Mua sản phẩm vào tháng 09/2024 đến tháng 02/2025 máy bị hư hỏng, không mở nguồn được. Đem về trạm bảo hành, trạm bảo bị oxy hóa main, phần này lỗi do bị dô nước. Máy mình sử dụng rất kỹ, thế mà bảo dô nước kiểu gì không hiểu. Thế là không được bảo hành. Muốn sử dụng phải thay main, trị giá 14 triệu, hơn cả tiền mua máy. Thế là mất cả chì lẫn chày. Sẽ không 1 lần nào mua hãng Acer này nữa, và cũng sẽ khuyến cáo người thân bạn bè không mua. Sản phẩm chất lượng quá tệ, chỉ biết đổ cho người dùng.",16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",AMD Ryzen 7 - 5700U,8,16,1.8GHz,Turbo Boost 4.3 GHz,,,"14""",WUXGA,60Hz,45% NTSC,Tấm nền IPS,,,Card tích hợp - AMD Radeon Graphics,Acer Purified Voice,,Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,,,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,"3-cell, 50Wh",Windows 11 Home SL,2024,318.2,225.5,17.8,1.4
https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Acer,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer ( 65W )
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Long Hoang,5,1,"trong tâm gia nay thi ryzen 7 5800u đap ưng qua đu cho tac vu hăng ngay, pin tương đôi tôt nêu sư dung tac vu nhe như word, excel, ppt. May không phu hơp cho chơi game năng vê câu hinh vi không co card gpu rơi, nhưng con lai nhưng game 2d hay thâm chi minecraft Ryzen 7 5800u lam rât tôt. Man hinh đu dung, net, loa tương đôi nho chi phu hơp cho văn phong hoăc phong ngu. Ban phim không co đen nên nhưng sư dung tôt, khoan cach phim dê tiêp cân, hanh trinh phim ngăn, đu dung cho hăng ngay, trackpad size vưa, sư dung tôt. chât liêu hoan thiên hoan toan băng nhưa nên chip ryzen co đôi luc cam giac nong nhưng không bao h qua 70 đô C. co sac type c song song vơi đâu AC. mưc đô hoan thiên kha, tuy lam băng nhưa nhưng đu cưng cap, kha năng nâng câp kem, ca CPU va RAM đêu han chêt vao board. noi chung 12tr đu sưc sai tac vu hăng ngay. 9đ",16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",AMD Ryzen 7 - 5700U,8,16,1.8GHz,Turbo Boost 4.3 GHz,,,"14""",WUXGA,60Hz,45% NTSC,Tấm nền IPS,,,Card tích hợp - AMD Radeon Graphics,Acer Purified Voice,,Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,,,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,"3-cell, 50Wh",Windows 11 Home SL,2024,318.2,225.5,17.8,1.4
https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Acer,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer ( 65W )
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Hải Đăng,3,1,không có gì nổi trội hết,16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",AMD Ryzen 7 - 5700U,8,16,1.8GHz,Turbo Boost 4.3 GHz,,,"14""",WUXGA,60Hz,45% NTSC,Tấm nền IPS,,,Card tích hợp - AMD Radeon Graphics,Acer Purified Voice,,Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,,,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,"3-cell, 50Wh",Windows 11 Home SL,2024,318.2,225.5,17.8,1.4
https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Acer,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer ( 65W )
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Nguyễn Huy Tuấn,4,1,Mới mua con này hôm 23/9 mà hôm sau giá giảm thêm 500k tiếc ghê. Về hiệu năng thì trong tầm giá này con này có cấu hình ok nhất rồi. Mỗi tội bàn phím bấm cứng hơi nông và quạt kêu hơi to. 9/10,16 GB,LPDDR4X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",AMD Ryzen 7 - 5700U,8,16,1.8GHz,Turbo Boost 4.3 GHz,,,"14""",WUXGA,60Hz,45% NTSC,Tấm nền IPS,,,Card tích hợp - AMD Radeon Graphics,Acer Purified Voice,,Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),HD webcam,Không có đèn,,,,Dài 318.2 mm - Rộng 225.5 mm - Dày 17.8 mm - 1.4 kg,Vỏ nhựa,"3-cell, 50Wh",Windows 11 Home SL,2024,318.2,225.5,17.8,1.4
https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b?utm_flashsale=1,Acer,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Nguyễn Thành Luân,2,0,Tôi moi mua máy dc 13 ngay gio mất wi Co dc doi moi Ko,8 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,Turbo Boost 4.4 GHz,,,"15.6""",Full HD (1920 x 1080),60Hz,,TFT,,,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Stereo speakers,,LAN (RJ45),Bluetooth,HD webcam,Không có đèn,,,,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,"3-cell, 40Wh",Windows 11 Home SL,2022,362.9,241.26,19.9,1.7
https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b?utm_flashsale=1,Acer,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Tuyết,5,0,máy oki ạ pin miễn k nghe nhạc ánh sáng tầm 40 e sài được khoảng 45 tiếng,8 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,Turbo Boost 4.4 GHz,,,"15.6""",Full HD (1920 x 1080),60Hz,,TFT,,,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Stereo speakers,,LAN (RJ45),Bluetooth,HD webcam,Không có đèn,,,,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,"3-cell, 40Wh",Windows 11 Home SL,2022,362.9,241.26,19.9,1.7
https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b?utm_flashsale=1,Acer,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Lương Thế Vinh,3,0,Máy tạm ổn. pin nhanh hết,8 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,Turbo Boost 4.4 GHz,,,"15.6""",Full HD (1920 x 1080),60Hz,,TFT,,,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Stereo speakers,,LAN (RJ45),Bluetooth,HD webcam,Không có đèn,,,,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,"3-cell, 40Wh",Windows 11 Home SL,2022,362.9,241.26,19.9,1.7
https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b?utm_flashsale=1,Acer,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Công Ty Tnhh Nosu - Biotech,5,1,Sản phẩm tốt.,8 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,Turbo Boost 4.4 GHz,,,"15.6""",Full HD (1920 x 1080),60Hz,,TFT,,,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Stereo speakers,,LAN (RJ45),Bluetooth,HD webcam,Không có đèn,,,,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,"3-cell, 40Wh",Windows 11 Home SL,2022,362.9,241.26,19.9,1.7
https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b?utm_flashsale=1,Acer,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),"Bộ sản phẩm gồm: Sách hướng dẫn, Thùng máy, Sạc Laptop Acer
Hư gì đổi nấy 12 tháng tại 2961 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết
Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng  Xem địa chỉ bảo hành",12490000,Thương,5,1,Tốt,8 GB,DDR4 2 khe (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,Turbo Boost 4.4 GHz,,,"15.6""",Full HD (1920 x 1080),60Hz,,TFT,,,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Stereo speakers,,LAN (RJ45),Bluetooth,HD webcam,Không có đèn,,,,Dài 362.9 mm - Rộng 241.26 mm - Dày 19.9 mm - 1.7 kg,Vỏ nhựa,"3-cell, 40Wh",Windows 11 Home SL,2022,362.9,241.26,19.9,1.7
